"Identificador de la publicación","Identificador de la página","Nombre de la página",Título,Descripción,"Duración (segundos)","Hora de publicación","Tipo de subtítulo","Enlace permanente","Es una publicación cruzada","Es una publicación compartida","Tipo de publicación",Idiomas,"Etiquetas personalizadas","Estado de contenido financiado","Comentario sobre los datos",Fecha,Impresiones,Alcance,"Reacciones, comentarios y veces que se compartió",Reacciones,Comentarios,"Veces que se compartió","Total de clics","Consumo de segmentación del público coincidente (Photo Click)","Clics de otro tipo","Clics en el enlace","Segundos reproducidos","Segundos en promedio reproducidos","Ingresos estimados (USD)","Comentarios negativos de los usuarios: Ocultar todo","CPM del anuncio (USD)","Impresiones del anuncio"
818252110095571,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"¡Agradecemos a todos los asistentes en la noche de egresados en la Facultad de Ingeniería! 🎉🎉🎉

Esperamos que hayan disfrutado de la música en vivo, la comida y la compañía. Su trayecto en la Facultad, sus avances profesionales, sus logros y sus aportaciones a la sociedad son nuestro orgullo. Este evento fue en su nombre y agradecimiento por continuar siendo Cimarrones con valores, un recordatorio que su universidad siempre estará a brazos abiertos a ustedes.

Fue una noche inolvidable gracias a su presencia. Esperamos verlos pronto en futuros eventos. ¡Gracias de nuevo por venir! 🎉🎉🎉",0,"10/16/2023 16:10",N/A,https://www.facebook.com/fimuabc/posts/pfbid0BqRrAfE5wXptR2my263HQLNmnkf61e9HgzrMhx9rdhH7kQVrEB6cnT8TUskvrBM1l,0,0,Foto,,,,,Total,8242,7112,68,61,0,7,1795,1107,688,,,,,,,
818233073430808,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Estimados Estudiantes:

Se les invita a participar en sesión informativa del  programa sobre liderazgo para mujeres   ""WORLD ACADEMY FOR THE FUTURE OF WOMEN"". Global Leadership Program"" , que tiene como propósito avanzar y acelerar el liderazgo de las mujeres en todo el mundo y en nuestro caso, será ofertado a alumnas que deseen desarrollar habilidades para convertirse en líderes. 

La cita es MAÑANA  Martes 17 de Octubre de 12 a 13 hrs en el aula Magna de la Facultad de Ingeniería",0,"10/16/2023 16:10",N/A,https://www.facebook.com/fimuabc/posts/pfbid08Mic8LEMF13Xy78bfZGHawDPmJk8rCJGbBE9YTLGE3XPWUobJDY2A4kyVfrSrmC5l,0,0,Foto,,,,,Total,3379,3117,19,17,0,2,221,136,85,,,,,,,
856207392966709,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"12/24/2023 20:12",N/A,https://www.facebook.com/fimuabc/posts/pfbid0wSqwJeeDufnHFgckikMtibfectkxmzXSW3kzURavZPJ86rJdPS7wLnAtC9VA6vS8l,0,0,Foto,,,,,Total,3835,2933,23,23,0,0,12,7,5,,,,,,,
854798419774273,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"12/22/2023 11:12",N/A,https://www.facebook.com/fimuabc/posts/pfbid02CLFzKhwKm55kkcBqowp7CVV6kN4bnmJeQskndg3ib3pvfNsrMKAvPasFSUqwcxrMl,0,0,Foto,,,,,Total,4633,3642,71,67,4,0,97,43,54,,,,,,,
854791729774942,422553107793433,"Facultad de Ingeniería UABC Mexicali","Actualización de estado",,76,"12/22/2023 11:12",N/A,https://www.facebook.com/fimuabc/posts/pfbid036HoYsMjV2Zh3va13VK4NMt1MGZawv5LiHH5A7FAekbPdxSR7JLLPiWG9g5MnphKWl,0,1,Video,,,,,Total,2427,1772,8,8,0,0,4,,4,,,,,,,
854181709835944,422553107793433,"Facultad de Ingeniería UABC Mexicali","Video Subasta de Carrera 2023 1. Facultad de Ingeniería Campus Mexicali. UABC","Alumnos de Tronco común que están en posibilidad de pasar a carrera, revisar el video de Subasta de carrera que te ayudará a resolver tus dudas:  Video Subasta de Carrera 2023 1. Facultad de Ingeniería Campus Mexicali. UABC 
https://www.youtube.com/watch?v=4fHUu4_DR7U&t=121s",0,"12/21/2023 11:12",N/A,https://www.facebook.com/fimuabc/posts/pfbid027FPiBjnvzw7USqbstA6DBgWtVoyLfYhMSPQDTrgZ2gaxMQq6Z4fWRd7UNeHSyj5cl,0,0,Enlace,,,,,Total,2830,2147,4,4,0,0,22,,3,19,,,,,,
853673559886759,422553107793433,"Facultad de Ingeniería UABC Mexicali","Actualización de estado",,0,"12/20/2023 16:12",N/A,https://www.facebook.com/fimuabc/posts/pfbid0Ex4bKsZKTpsK5ERiYLtf1Re2JWkiU6j1P9nZpmz5JQzCpG81DquqCqMbPSdmKjrel,0,1,Foto,,,,,Total,2919,2243,12,10,2,0,63,57,6,,,,,,,
853508369903278,422553107793433,"Facultad de Ingeniería UABC Mexicali","Actualización de estado",,60,"12/20/2023 09:12",N/A,https://www.facebook.com/fimuabc/posts/pfbid02FUXmfCEH3nMJJLSq7RxSx6f5gxBy919YEvUEmXQV9TgXmD6Y28trppSkyH7cDN2ul,0,1,Video,,,,,Total,2307,1768,14,14,0,0,15,,15,,,,,,,
852516386669143,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"🎉 ¡Convivio en la Facultad de Ingeniería! 🌟 Posteriormente al 3er Informe de Actividades, nos reunimos en la explanada para agradecer a nuestra dedicada planta docente y al personal administrativo y de servicios. 🙏 Su esfuerzo incansable y ardua labor ha sido vital para el éxito de este año. 🚀 ¡Gracias a todos por su valioso apoyo y empeño! 🎊👏",0,"12/18/2023 16:12",N/A,https://www.facebook.com/fimuabc/posts/pfbid02yJrPRsBAdqt2w4AzDEHMB7gn2BPZE1QrHLk59DN5XHPHpoxyQBg3ViEC82kTAQBAl,0,0,Foto,,,,,Total,8574,6455,72,66,3,3,1607,1022,585,,,,,,,
852509246669857,422553107793433,"Facultad de Ingeniería UABC Mexicali","Actualización de estado",,0,"12/18/2023 16:12",N/A,https://www.facebook.com/fimuabc/posts/pfbid0RRhypHGF5Ca4wyVaytn9NcLnpoF1L6UoqxRhvWSsBjFf9C7tewYinCVPcMgabqGcl,0,1,Foto,,,,,Total,3121,2507,11,11,0,0,141,116,25,,,,,,,
852489586671823,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"¡Celebramos el éxito del 3er Informe de Actividades de la Dra. Araceli Celina Justo Lopez, Directora de la Facultad de Ingeniería Mexicali UABC! 🎉

Fue un honor contar con la distinguida presencia de integrantes de la Junta de Gobierno, así como Directores de otras Unidades Académicas, Docentes, Personal Administrativo y de Servicios, así como la comunidad estudiantil. Su participación ha enriquecido este evento, consolidando el compromiso con la excelencia académica y el desarrollo integral de nuestra comunidad cimarrona.

En el presente informe se compartieron los logros significativos, desafíos superados y la visión a futuro para nuestra querida Facultad de Ingeniería. Su liderazgo y dedicación han sido clave para impulsar el crecimiento y la innovación en nuestra institución.

Agradecemos a todos quienes formaron parte de este momento. Sigamos trabajando juntos para construir un futuro brillante para la comunidad universitaria. 💪📚✨

#SomosFIM #cimarronmicorazon #UABC",0,"12/18/2023 15:12",N/A,https://www.facebook.com/fimuabc/posts/pfbid0XvGHAKEFw1d954iQTvihteC4tWkTCAWnntvrhb1Nf1M27erSGKqMx9T3jwfFiiMFl,0,0,Foto,,,,,Total,6846,5299,73,71,0,2,942,646,296,,,,,,,
2157861054549504,422553107793433,"Facultad de Ingeniería UABC Mexicali","3er Informe de Actividades de Dirección","3er Informe de Actividades de Dirección | EN VIVO 🔴",5805,"12/18/2023 10:12",uploaded,https://www.facebook.com/fimuabc/videos/2157861054549504/,0,0,"Video en vivo",,,,,Total,,2373,38,33,4,1,,,,,109288.827,44.372,0,,,
852342480019867,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Concluyen curso docentes y directivos de la Facultad de Ingeniería sobre Gestión del Estrés.

Con el objetivo de mejorar el bienestar y la calidad de vida de los profesionales de la educación, la Facultad de Ingeniería Campus Mexicali (FIM) en conjunto con el Centro de Desarrollo Humanitas (CDH) realizó el curso ""Gestión del Estrés"", impartido por el Director del CDH, Eduardo Loza.

El curso, que tuvo una duración de 6 horas, se llevó a cabo del 13 al 15 de diciembre de 2023 y contó con la participación de 20 docentes y directivos, quienes aprendieron técnicas y herramientas para identificar, prevenir y manejar el estrés laboral y personal.

El estrés es una reacción fisiológica y psicológica que se produce ante situaciones que percibimos como amenazantes o desafiantes, y que puede afectar negativamente nuestra salud, nuestro rendimiento y nuestra satisfacción. Por ello, es importante desarrollar habilidades para gestionarlo de forma adecuada y adaptativa.

La FIM reafirma su compromiso con el desarrollo integral de su comunidad académica, y reconoce el esfuerzo y la dedicación de los docentes y directivos que participaron en este curso, que contribuye a su bienestar y a su excelencia educativa.",0,"12/18/2023 09:12",N/A,https://www.facebook.com/fimuabc/posts/pfbid0jhhckcMsfaExeQqoymTnnus77xfvYDfuJfCbYaKaMT9hpe7aYh93E2EPHFMT9SBml,0,0,Foto,,,,,Total,6373,5215,29,28,0,1,800,576,224,,,,,,,
850706633516785,422553107793433,"Facultad de Ingeniería UABC Mexicali","Actualización de estado",,0,"12/15/2023 18:12",N/A,https://www.facebook.com/fimuabc/posts/pfbid0xpnY5mU9diVZb7gR6m5jcFScPWcTnFygwwno6yvJfx3uwE8wb5WPuSwSsyHbtrKal,0,1,Foto,,,,,Total,3592,3036,12,12,0,0,276,227,49,,,,,,,
850544916866290,422553107793433,"Facultad de Ingeniería UABC Mexicali","Actualización de estado",,86,"12/15/2023 12:12",auto,https://www.facebook.com/fimuabc/posts/pfbid02yL44e6Ugr218KqEENtiGz2DNVTmQbyBdsiz7SEJYRAJq8caaQEWHETZhdiTNDN8tl,0,1,Video,,,,,Total,2153,1628,20,17,3,0,29,,29,,,,,,,
850039740250141,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Estudiantes de la FIM concluyeron el Programa de Formación Dual en Skyworks

Quince estudiantes de la Facultad de Ingeniería del Campus Mexicali (FIM), concluyeron el Programa de Formación Dual en Skyworks Solutions. De esta forma, además de obtener créditos curriculares, tuvieron la oportunidad de desarrollar competencias que podrán utilizar para la resolución de problemáticas reales en un entorno laboral con alcance global.

Este programa implica la formación del alumnado a través del desarrollo de proyectos dentro de la empresa con estrecha coordinación de un asesor de la UABC que apoya en el cumplimiento de las metas y competencias. Con este modelo de enseñanza se pretende formar egresadas y egresados que cuenten con los conocimientos teóricos-prácticos y experiencia laboral requeridos por las compañías contratantes de la región y del mundo.

Este año participaron cinco estudiantes de Ingeniería Industrial, tres de Ingeniería en Mecatrónica, uno de Ingeniería Electrónica y seis de la Licenciatura en Sistemas Computacionales.

Entérate de más en Gaceta UABC: https://gaceta.uabc.mx/notas/academia/estudiantes-de-la-fim-concluyeron-el-programa-de-formacion-dual-en-skyworks",0,"12/14/2023 17:12",N/A,https://www.facebook.com/fimuabc/posts/pfbid022k3yhX59aB8hBEy2FkfmyX5WQyo7XpQNn9JcWRqxkj2PZ3pAxVKrtZgLJokopverl,0,0,Foto,,,,,Total,5612,4795,48,48,0,0,498,459,35,4,,,,,,
849437100310405,422553107793433,"Facultad de Ingeniería UABC Mexicali","Actualización de estado",,0,"12/13/2023 17:12",N/A,https://www.facebook.com/fimuabc/posts/pfbid02CL9ewWBYq9saZFrahnjeYUCN9j9vTaHSWMVfxEvaCbRTxRqu3XyKmRBpjpF9nTozl,0,1,Foto,,,,,Total,5147,4391,33,32,0,1,850,658,192,,,,,,,
848298040424311,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"12/11/2023 16:12",N/A,https://www.facebook.com/photo.php?fbid=848298040424311&set=a.560878725832912&type=3,0,0,Foto,,,,,Total,2967,2261,22,20,0,2,32,7,25,,,,,,,
848292733758175,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Este 30 de noviembre se llevó a cabo la Ceremonia de Toma de Protesta, donde 86 profesionistas de la ingeniería y los sistemas computacionales se comprometieron a representar a su alma mater cómo excelentes egresados y a seguir siendo un ejemplo de calidad, compromiso y responsabilidad.

Agradecemos a las autoridades universitarias presentes en la ceremonia por su asistencia, incluyendo al Vicerrector, Dr. Jesús Adolfo Soto Curiel, y a nuestra Directora, Dra. Araceli Celina Justo Lopez .

¡Muchas felicidades y enhorabuena!
#SomosFim",0,"12/11/2023 16:12",N/A,https://www.facebook.com/fimuabc/posts/pfbid02fLLFBCUaRHdgagba1ZmB7C1BXpMo7Bqp1tQGhrhpNeNV3ArcHvhHLi4h9SsEe8ghl,0,0,Foto,,,,,Total,13113,9811,133,114,5,14,1298,794,504,,,,,,,
848236890430426,422553107793433,"Facultad de Ingeniería UABC Mexicali","Actualización de estado",,0,"12/11/2023 13:12",N/A,https://www.facebook.com/fimuabc/posts/pfbid0usDZ8cRK1S6t8oCq3462Dt7NVK5tN8VVWqxHuAmqBz4T5QugrzFDmnggX74Ca5msl,0,1,Foto,,,,,Total,3105,2494,13,12,0,1,297,247,50,,,,,,,
846702960583819,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"¡Enhorabuena a los ganadores del Concurso Interno de Matemáticas en la Facultad de Ingeniería Campus Mexicali! 🏆👏

Este concurso, que se compone de una fase eliminatoria y una fase final, reconoce a los mejores alumnos de ingeniería por su excelencia en el dominio y aplicación de las lógica matemática en el área de la Química, Física y Matemáticas. Los estudiantes demostraron su destreza en ejercicios con límite de tiempo y de mayor complejidad en la fase final.

🥇 Edgar Javier Ontiveros López
🥈 Mirka Naomi Moreno Camacho
🥉 José Rogelio Escobar Hernández

¡Sus logros son dignos de admiración y reconocimiento!",0,"12/08/2023 17:12",N/A,https://www.facebook.com/fimuabc/posts/pfbid028QSsnwZTBPw8h7vXWCueyTB3Ve9Rbe2MEZxnozUNYPEUfvDef2CJRJhaM8iz988al,0,0,Foto,,,,,Total,7591,6535,158,124,28,6,1238,908,330,,,,,,,
846529257267856,422553107793433,"Facultad de Ingeniería UABC Mexicali","Estudiantes de la UABC culminaron su formación dual en Skyworks","ESTUDIANTES DE LA UABC CULMINARON SU FORMACIÓN DUAL EN SKYWORKS

El día 5 de diciembre se llevó a cabo el cierre del Programa de Formación Dual, a través del cual, 15 estudiantes de diversas licenciaturas de la Universidad Autónoma de Baja California (UABC) hicieron estancias de aprendizaje en la empresa Skyworks y con ello obtuvieron créditos curriculares, a la vez que pusieron en práctica conocimientos obtenidos durante su formación académica

Este año participaron estudiantes de Ingeniería Industrial, Ingeniería en Mecatrónica, Ingeniería en Electrónica y de la Licenciatura en Sistemas Computacionales, programas que ofrece la Facultad de Ingeniería del Campus Mexicali (FIM).

Créditos de nota y fotografía a Lindero Norte 
Entérate de más: https://linderonorte.com/2023/12/07/estudiantes-de-la-uabc-culminaron-su-formacion-dual-en-skyworks",0,"12/08/2023 09:12",N/A,https://www.facebook.com/fimuabc/posts/pfbid032ZZqUqid1rX3RrEz5Xm776CNJSAHguyJj7Zt4nqgcyYND8c3rZjGHv7KiAPJ8Z4Zl,0,0,Enlace,,,,,Total,3334,2584,19,19,0,0,65,,1,64,,,,,,
846133490640766,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"La Facultad de Ingeniería Campus Mexicali extiende su más grande felicitación a la Dra. Marcela Deyanira Rodríguez Urrea por la aprobación el día de hoy en Consejo Universitario de la propuesta para Integrarse en la Junta de Gobierno de la UABC, siendo seleccionada por su extraordinario desempeño como investigadora y docente.

Su destacable trayectoria con 26 años en la docencia, investigadora reconocida a nivel nacional y labor de divulgación científica le distinguen en nuestra comunidad de la UABC. Desde la Facultad de Ingeniería Campus Mexicali, celebramos y nos enorgullece este nuevo hito en su carrera profesional.

¡Felicidades!",0,"12/07/2023 17:12",N/A,https://www.facebook.com/fimuabc/posts/pfbid02GmZMeRjSqVPQwUn8gRuPbdje1MYrnBSxDqi1eBHNRjavXwPQ3QUrkMaEbMMgEsoCl,0,0,Foto,,,,,Total,5235,4487,128,88,40,0,266,130,136,,,,,,,
846069557313826,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Con gran orgullo felicitamos al Dr. Miguel Ángel Martínez Romero por la aprobación el día de hoy en el Consejo Universitario de la propuesta de nombramiento de Profesor Emérito, en honor a su gran trayectoria y su trascendencia dentro de la Universidad Autónoma de Baja California y la Facultad de Ingeniería Campus Mexicali.

Con más de 30 años de resultados extraordinarios en su labor dentro de la universidad, como Docente, Director, Coordinador y Vicerrector, su reconocimiento a su labor educativa destacable y su constante desempeño prominente lo celebramos toda la comunidad Cimarrona en FIM.

¡Enhorabuena!",310,"12/07/2023 14:12",N/A,https://www.facebook.com/fimuabc/posts/pfbid0E21AqYxsvTQf4NgskZFUhMiuvmHB4MVpZAm3w5nhNYfaiLDXBk3w5Ma8CZsWSQsVl,0,0,Video,,,,,Total,3616,2641,87,76,7,4,128,,128,,38920.21,12.17,0,,0,0
845389417381840,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Fechas Importantes: 

📝 Exámenes Ordinarios: del 4 al 12 de diciembre.
📝 Exámenes Extraordinarios: del 18 al 21 de diciembre.
💲 Pagos de extraordinario: del 6 al 16 de diciembre.

🖥 TUTORÍAS
Primera etapa: a partir del  19 y 20 de diciembre
Segunda etapa: 12 al 16 de enero de 2024

💻📚 REINSCRIPCIÓN por internet: 19 y 20 de enero.

✏ AJUSTES: del 23 al 25 de enero
💵 PAGOS DEL SEMESTRE 2024-1: del 12 al 23 de enero.

📓 Inicio de clases: 29 de enero",0,"12/06/2023 08:12",N/A,https://www.facebook.com/fimuabc/posts/pfbid02Umt8QdvU7wpyyNC9rFJcm6giSi4Z1kpnmtJydzqfQbLYn6jcDL16iueK9WaQSFqnl,0,0,Texto,,,,,Total,6065,4704,41,38,0,3,111,,111,,,,,,,
845042507416531,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"El día de hoy toman protesta académicos de la Facultad de Ingeniería como parte de la Red de Expertos en Sustentabilidad Universitaria de la UABC.
#SomosFim",0,"12/05/2023 18:12",N/A,https://www.facebook.com/fimuabc/posts/pfbid02vzR1CP6bp3NvCM5do3RvGVX1hbCmE9RFpYVo43H6VU6G2Xe4F96AyA3qRb7A3ZnHl,0,0,Foto,,,,,Total,9657,7673,468,406,48,14,1452,1127,325,,,,,,,
844397640814351,422553107793433,"Facultad de Ingeniería UABC Mexicali","Actualización de estado",https://fb.watch/oJIIpMozAP/,121,"12/04/2023 11:12",N/A,https://www.facebook.com/fimuabc/posts/pfbid03gYpd7Dx6qwZhhLuwUvsXrJSvmKoDZ59FETLXUjgq7XRxzuRkRRHaYDkcBZ5HHsql,0,1,Video,,,,,Total,1823,1410,5,5,0,0,9,,8,1,,,,,,
844348360819279,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"12/04/2023 09:12",N/A,https://www.facebook.com/fimuabc/posts/pfbid06H9e5MN4V29NYbPGwBSYb3rbYXW5REUrK2JuWmyKSMAE7RyjkL6qEWZ2pJzSrbakl,0,0,Foto,,,,,Total,5256,4150,56,50,2,4,375,318,57,,,,,,,
723849082583620,422553107793433,"Facultad de Ingeniería UABC Mexicali","Día Internacional de la Eliminiación de Violencia para Mujeres y Niñas","Día Internacional de la Eliminiación de Violencia para Mujeres y Niñas.",7864,"12/01/2023 13:12",uploaded,https://www.facebook.com/fimuabc/videos/723849082583620/,0,0,"Video en vivo",,,,,Total,,1595,17,13,2,2,,,,,25015.116,8.258,0,,,
842685540985561,422553107793433,"Facultad de Ingeniería UABC Mexicali","Actualización de estado",,70,"12/01/2023 08:12",N/A,https://www.facebook.com/fimuabc/posts/pfbid029D5bgiUKSBGVuHJZWk3ovjT6Kr63W92RgMneazwBv4mFDv7TxsQeGJza3vht9j8tl,0,1,Video,,,,,Total,1766,1432,7,7,0,0,13,,13,,,,,,,
842411344346314,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Este miércoles 29 de noviembre se realizó la ceremonia de entrega de pin a los Cimarrones potenciales a egresar en el semestre 2023-2. ¡Enhorabuena!

Les deseamos a todos los potenciales a egresar de la Facultad de Ingeniería todo lo mejor en sus futuros emprendimientos y los reconocemos por llegar al día que recordarán como el momento en que culminaron su carrera universitaria. Esperamos que este sea el comienzo de una vida llena de éxitos y satisfacciones.

Les felicitamos por su arduo trabajo y dedicación. Han demostrado que con perseverancia y esfuerzo se logra ser un Cimarrón con Valores.

¡Felicidades de nuevo y mucho éxito en su futuro! 🎉🎓",0,"11/30/2023 21:11",N/A,https://www.facebook.com/fimuabc/posts/pfbid02p3YAbWEuDWXBoVL633Gvj9137ZeKqgQgyQX3D3WhYuXKZGStUm2eF1Jkp4dkJjjhl,0,0,Foto,,,,,Total,15280,11511,131,111,6,14,2194,1301,893,,,,,,,
842344547686327,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"11/30/2023 18:11",N/A,https://www.facebook.com/fimuabc/posts/pfbid02wUbDxfpTLDsaojL7uUu1TJAxCmZjT81vEUDh6Pqbi2fSiop7abK9KwBAfrChDqJJl,0,0,Foto,,,,,Total,1742,1524,1,1,0,0,4,3,1,,,,,,,
842241387696643,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"11/30/2023 12:11",N/A,https://www.facebook.com/fimuabc/posts/pfbid0v4FJo5eYmpSpQZFb88FdxU2JZjdU24o3JaLYT15f24PwNoEaFFKh4SAHC7AcXnNvl,0,0,Foto,,,,,Total,2471,2184,3,3,0,0,11,10,1,,,,,,,
841637571090358,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"La Facultad de Ingeniería tuvo el gusto de contar con la presencia del fundador de la SEMAC (Sociedad de Ergonomistas de México), el Dr. Carlos Manuel Espejo Guasco. La SEMAC surge hace 28 años buscando fomentar la Ergonomía en todo el país, buscando incidir hacia las normativas en salud ocupacional, desarrollar profesionistas. La SEMAC pone atención hacia la formación de estudiantes universitarios mediante los Capítulos Universitarios de Ergonomía (CAPUNI), donde la Facultad de Ingeniería de la UABC forma parte de este esfuerzo desde hace 6 años.

   Por lo que el Dr. Carlos Manuel Espejo Guasco, quien también es el Council por México ante la International Ergonomics Asociation (IEA), Expresidente de la FECACSO, Expresidente de la FENASTAC y Expresidente de la ULAERGO; buscando Capacitar y sensibilizar a miembros del Capítulo Universitario de Ergonomía (conformado por estudiantes de los programas de Ing. Industrial, Ingeniería Mecánica  e Ingeniería Mecatrónica) dicta una conferencia sobre ""Método ROSA y 12 Tips para teletrabajo y uso de electrónicos y tabletas"" realizada a las 16:00 horas del 21 de noviembre.

    Esta conferencia fue realizada en el marco del XIII Coloquio Nacional de Ingeniería Industrial, con sede en el Audiovisual de Ciencias Básicas de la Facultad de Ingeniería; donde 100 estudiantes y profesores fueron capacitados y sensibilizados hacia la Ergonomía, así como recibieron conceptos prácticos aplicables a su actividad diaria.

    Cabe destacar que la Facultad de Ingeniería de la UABC, busca colaborar con la Sociedad de Ergonomistas de México desde hace varios años, lo cual ha redundado en oportunidades de capacitación hacia nuestros estudiantes y hacia profesionistas externos a la UABC. Actualmente el Capítulo Universitario de Ergonomía de la Facultad de Ingeniería de la UABC está conformado por 43 estudiantes de los programas de Ingeniería Industrial, Ingeniería Mecánica e Ingeniería Mecatrónica.",0,"11/29/2023 09:11",N/A,https://www.facebook.com/fimuabc/posts/pfbid02WDeT25ocBQ9QT7n6dxmtjBQewqY4Y4EzL4UGYEBuiuJAvyQHFKTwduwnrwh8Heq3l,0,0,Foto,,,,,Total,3594,3090,12,12,0,0,127,106,21,,,,,,,
841241094463339,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"11/28/2023 15:11",N/A,https://www.facebook.com/fimuabc/posts/pfbid0r71prSpWHXxD9trEVP7RLvraz6yVbkw4toiWWgSMeHFYwxafhi2hAB8VRXzV1YUdl,0,0,Foto,,,,,Total,3138,2788,7,7,0,0,56,37,19,,,,,,,
841177197803062,422553107793433,"Facultad de Ingeniería UABC Mexicali","Actualización de estado",,174,"11/28/2023 12:11",N/A,https://www.facebook.com/fimuabc/posts/pfbid02ZjS3LG94X1AVXEkidNxGjFR48TxZxz7zw2919ZzcesVR75cGjgbCQNHN8BXiC8zJl,0,1,Video,,,,,Total,1770,1499,10,10,0,0,15,,15,,,,,,,
841106861143429,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Agradecemos a los estudiantes de intercambio, José Armando Ventura Pérez de la UNACH y Adolfo Zepeda Almazán de la UAM, por su destacada participación y contribución durante su tiempo con nosotros en su intercambio académico dentro de los programas educativos de Ingeniería Civil e Ingeniería en Energías Renovables respectivamente. 

Gracias por su dedicación y por haber formado parte de nuestra comunidad cimarrona durante este semestre 2023-2. Les deseamos lo mejor en el desarrollo de sus trayectorias académicas y profesional.

¡Hasta pronto y feliz viaje de regreso!",0,"11/28/2023 09:11",N/A,https://www.facebook.com/fimuabc/posts/pfbid0foCWpH3JEAnkp4tDUsZKWJLvwWmwvvZ8xTJDocpmqgwBa1JV4CPWzAkBGgvFRChRl,0,0,Foto,,,,,Total,6129,5557,149,121,26,2,922,665,257,,,,,,,
840666921187423,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"FINALIZA EXITOSAMENTE PROYECTO COMVI SEALS EN SU PRIMERA EDICIÓN - COLABORACION ENTRE UABC-FIM, GRUPO EDUCATIVO 16 DE SEPTIEMBRE Y EL COMITÉ DE VINCULACIÓN DE MEXICALI.

Este 24 de noviembre del 2023 se dio clausura al proyecto COMVI SEALS, donde los estudiantes seleccionados al inicio del semestre 2023-2 tuvieron la oportunidad de participar en este proyecto de formación integral, desarrollando las habilidades que se necesitan en ingenieros líderes como liderazgo, comunicación, responsabilidad, ética y trabajo en equipo, cumpliendo con las necesidades que se demanda en el mundo actual. Extendemos nuestro más grande agradecimiento al Comité de Vinculación de Mexicali en su gran labor de confianza y de impulsar el talento de nuestros estudiantes al compartir su experiencia laboral y de vida. 

Tambien agradecemos a las autoridades académicas y empresariales que hicieron presencia en la ceremonia que marca un hito en las instituciones y empresas participantes del proyecto, entre quienes se encontraron nuestra Directora, Dra. Araceli Celina Justo López, el Rector del Grupo Educativo 16 de Sept., Mtro. Manuel Ruelas Jiménez, el Presidente del CCE, Arq. Luis Elizondo Lomelí, el Presidente del CDEM, Arq. Salvador Gonzalez Bravo, el Presidente del ComVin, Ing. Humberto Luna Rodríguez, el Vicepresidente y Coach del proyecto COMVI Seals, Ing. Alberto Aguilar Ross y el Vicepresidente y Coach del proyecto COMVI Seals, Ing. Eduardo Loza.

Estos resultados no hubieran sido posibles si no fuera garcias a los docentes del programa educativo de Ingenieria Mecanica de la FIM, al dar impulso a este proyecto a través de su guía y asesoramiento a los estudiantes del programa y dar su confianza en implementar este proyecto. Agradecemos sus esfuerzos y trabajo, en especial al Responsable del Programa Educativo, Dr. Fernando Lara y al Coordinador de Extensión y Vinculación, Dr. Emmanuel Durazo.

En la Facultad de Ingeniería estamos comprometidos en trabajar de manera conjunta con la industria en formar a la próxima generación de líderes y abordar los desafíos globales, contribuyendo al desarrollo inclusivo y sostenible, al bienestar de la sociedad bajacaliforniana, la nación y del mundo.

¡Felicidades, Cimarrones!",0,"11/27/2023 12:11",N/A,https://www.facebook.com/fimuabc/posts/pfbid02GS1Y89dnf8ap9DJugb1fguBRzTar5WAt2SgAA96QJrTMG1mEA5Xb7W3aauPh5RCBl,0,0,Foto,,,,,Total,7604,6412,146,123,15,8,705,462,243,,,,,,,
839710601283055,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"11/25/2023 16:11",N/A,https://www.facebook.com/fimuabc/posts/pfbid0TXodE6hNq1qKfeTtWuEMnohyKyUWZH9S8j9R9WmX1ftUzbzZJxxZwDFXjeV2NXEtl,0,0,Foto,,,,,Total,1970,1695,1,1,0,0,3,2,1,,,,,,,
839710457949736,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"11/25/2023 16:11",N/A,https://www.facebook.com/photo.php?fbid=839710457949736&set=a.560878729166245&type=3,0,0,Foto,,,,,Total,2,2,3,2,1,0,0,,,,,,,,,
